quote,author,tags,source_url
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,"change, deep-thoughts, thinking, world",https://quotes.toscrape.com/
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,"abilities, choices",https://quotes.toscrape.com/
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,"inspirational, life, live, miracle, miracles",https://quotes.toscrape.com/
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,"aliteracy, books, classic, humor",https://quotes.toscrape.com/
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,"be-yourself, inspirational",https://quotes.toscrape.com/
“Try not to become a man of success. Rather become a man of value.”,Albert Einstein,"adulthood, success, value",https://quotes.toscrape.com/
“It is better to be hated for what you are than to be loved for what you are not.”,André Gide,"life, love",https://quotes.toscrape.com/
"“I have not failed. I've just found 10,000 ways that won't work.”",Thomas A. Edison,"edison, failure, inspirational, paraphrased",https://quotes.toscrape.com/
“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Eleanor Roosevelt,misattributed-eleanor-roosevelt,https://quotes.toscrape.com/
"“A day without sunshine is like, you know, night.”",Steve Martin,"humor, obvious, simile",https://quotes.toscrape.com/
